Year,Month,Day,Hour,Minute,Total
2009,1,1,0,0,158427
2009,1,1,0,10,136598
2009,1,1,0,20,130476
2009,1,1,0,30,122720
2009,1,1,0,40,124098
2009,1,1,0,50,154301
2009,1,1,1,0,222950
2009,1,1,1,10,264675
2009,1,1,1,20,286378
2009,1,1,1,30,285796
2009,1,1,1,40,267260
2009,1,1,1,50,263287
2009,1,1,2,0,259645
2009,1,1,2,10,266646
2009,1,1,2,20,257255
2009,1,1,2,30,246216
2009,1,1,2,40,226260
2009,1,1,2,50,201426
2009,1,1,3,0,198754
2009,1,1,3,10,212681
2009,1,1,3,20,233379
2009,1,1,3,30,248345
2009,1,1,3,40,255612
2009,1,1,3,50,251337
2009,1,1,4,0,236545
2009,1,1,4,10,224445
2009,1,1,4,20,244305
2009,1,1,4,30,269690
2009,1,1,4,40,284593
2009,1,1,4,50,289356
2009,1,1,5,0,291502
2009,1,1,5,10,292394
2009,1,1,5,20,291700
2009,1,1,5,30,291318
2009,1,1,5,40,288661
2009,1,1,5,50,276666
2009,1,1,6,0,250135
2009,1,1,6,10,221246
2009,1,1,6,20,200311
2009,1,1,6,30,169071
2009,1,1,6,40,143322
2009,1,1,6,50,157646
2009,1,1,7,0,168475
2009,1,1,7,10,153330
2009,1,1,7,20,134923
2009,1,1,7,30,146157
2009,1,1,7,40,163472
2009,1,1,7,50,192863
2009,1,1,8,0,223717
2009,1,1,8,10,249670
2009,1,1,8,20,271320
2009,1,1,8,30,273963
2009,1,1,8,40,275210
2009,1,1,8,50,280042
2009,1,1,9,0,273070
2009,1,1,9,10,253364
2009,1,1,9,20,224702
2009,1,1,9,30,210252
2009,1,1,9,40,200797
2009,1,1,9,50,187371
2009,1,1,10,0,190823
2009,1,1,10,10,198054
2009,1,1,10,20,212470
2009,1,1,10,30,234534
2009,1,1,10,40,252336
2009,1,1,10,50,251017
2009,1,1,11,0,264667
2009,1,1,11,10,273908
2009,1,1,11,20,270701
2009,1,1,11,30,270358
2009,1,1,11,40,276238
2009,1,1,11,50,285850
2009,1,1,12,0,289744
2009,1,1,12,10,290163
2009,1,1,12,20,290411
2009,1,1,12,30,289296
2009,1,1,12,40,289282
2009,1,1,12,50,289051
2009,1,1,13,0,289690
2009,1,1,13,10,290078
2009,1,1,13,20,290300
2009,1,1,13,30,290107
2009,1,1,13,40,290763
2009,1,1,13,50,289655
2009,1,1,14,0,282947
2009,1,1,14,10,277296
2009,1,1,14,20,276384
2009,1,1,14,30,269100
2009,1,1,14,40,254820
2009,1,1,14,50,218675
2009,1,1,15,0,145455
2009,1,1,15,10,53881
2009,1,1,15,20,25733
2009,1,1,15,30,48925
2009,1,1,15,40,79787
2009,1,1,15,50,94891
2009,1,1,16,0,92570
2009,1,1,16,10,86152
2009,1,1,16,20,84502
2009,1,1,16,30,92644
2009,1,1,16,40,114964
2009,1,1,16,50,152348
2009,1,1,17,0,161519
2009,1,1,17,10,157031
2009,1,1,17,20,159788
2009,1,1,17,30,164162
2009,1,1,17,40,167120
2009,1,1,17,50,171685
2009,1,1,18,0,192046
2009,1,1,18,10,182297
2009,1,1,18,20,164322
2009,1,1,18,30,147411
2009,1,1,18,40,131993
2009,1,1,18,50,127765
2009,1,1,19,0,144063
2009,1,1,19,10,143049
2009,1,1,19,20,117374
2009,1,1,19,30,97898
2009,1,1,19,40,88098
2009,1,1,19,50,82520
2009,1,1,20,0,80723
2009,1,1,20,10,79727
2009,1,1,20,20,70056
2009,1,1,20,30,72128
2009,1,1,20,40,72752
2009,1,1,20,50,82521
2009,1,1,21,0,99998
2009,1,1,21,10,134179
2009,1,1,21,20,158016
2009,1,1,21,30,171296
2009,1,1,21,40,187790
2009,1,1,21,50,189598
2009,1,1,22,0,195385
2009,1,1,22,10,207424
2009,1,1,22,20,211705
2009,1,1,22,30,219277
2009,1,1,22,40,231027
2009,1,1,22,50,252613
2009,1,1,23,0,262267
2009,1,1,23,10,263484
2009,1,1,23,20,256762
2009,1,1,23,30,244027
2009,1,1,23,40,221282
2009,1,1,23,50,190835
2009,1,2,0,0,172802
2009,1,2,0,10,146940
2009,1,2,0,20,142185
2009,1,2,0,30,132866
2009,1,2,0,40,137596
2009,1,2,0,50,134690
2009,1,2,1,0,157190
2009,1,2,1,10,173913
2009,1,2,1,20,176082
2009,1,2,1,30,187152
2009,1,2,1,40,175462
2009,1,2,1,50,165423
2009,1,2,2,0,156823
2009,1,2,2,10,158865
2009,1,2,2,20,179576
2009,1,2,2,30,196137
2009,1,2,2,40,182839
2009,1,2,2,50,157130
2009,1,2,3,0,171097
2009,1,2,3,10,176552
2009,1,2,3,20,171238
2009,1,2,3,30,151129
2009,1,2,3,40,148632
2009,1,2,3,50,173035
2009,1,2,4,0,188882
2009,1,2,4,10,182785
2009,1,2,4,20,185760
2009,1,2,4,30,168055
2009,1,2,4,40,139193
2009,1,2,4,50,97578
2009,1,2,5,0,79359
2009,1,2,5,10,63219
2009,1,2,5,20,56752
2009,1,2,5,30,74613
2009,1,2,5,40,95403
2009,1,2,5,50,103321
2009,1,2,6,0,107431
2009,1,2,6,10,116813
2009,1,2,6,20,118611
2009,1,2,6,30,109803
2009,1,2,6,40,104211
2009,1,2,6,50,109803
2009,1,2,7,0,117629
2009,1,2,7,10,116908
2009,1,2,7,20,100245
2009,1,2,7,30,86279
2009,1,2,7,40,75467
2009,1,2,7,50,70032
2009,1,2,8,0,48471
2009,1,2,8,10,33857
2009,1,2,8,20,25460
2009,1,2,8,30,19978
2009,1,2,8,40,17313
2009,1,2,8,50,13249
2009,1,2,9,0,9942
2009,1,2,9,10,13498
2009,1,2,9,20,37394
2009,1,2,9,30,51033
