Year,Month,Day,Hour,Minute,Total
2010,1,1,0,0,8301
2010,1,1,0,10,2159
2010,1,1,0,20,-89
2010,1,1,0,30,-1300
2010,1,1,0,40,-2400
2010,1,1,0,50,-2463
2010,1,1,1,0,-2393
2010,1,1,1,10,-2152
2010,1,1,1,20,-1629
2010,1,1,1,30,-1728
2010,1,1,1,40,-1968
2010,1,1,1,50,-1703
2010,1,1,2,0,-510
2010,1,1,2,10,1579
2010,1,1,2,20,8201
2010,1,1,2,30,19100
2010,1,1,2,40,25543
2010,1,1,2,50,44171
2010,1,1,3,0,66468
2010,1,1,3,10,102814
2010,1,1,3,20,147204
2010,1,1,3,30,169638
2010,1,1,3,40,192355
2010,1,1,3,50,201142
2010,1,1,4,0,198629
2010,1,1,4,10,189896
2010,1,1,4,20,182839
2010,1,1,4,30,168617
2010,1,1,4,40,142685
2010,1,1,4,50,126376
2010,1,1,5,0,128973
2010,1,1,5,10,130197
2010,1,1,5,20,135127
2010,1,1,5,30,131773
2010,1,1,5,40,130442
2010,1,1,5,50,127182
2010,1,1,6,0,107258
2010,1,1,6,10,88982
2010,1,1,6,20,70036
2010,1,1,6,30,60503
2010,1,1,6,40,56389
2010,1,1,6,50,54021
2010,1,1,7,0,40046
2010,1,1,7,10,22317
2010,1,1,7,20,16920
2010,1,1,7,30,16468
2010,1,1,7,40,11787
2010,1,1,7,50,7511
2010,1,1,8,0,7372
2010,1,1,8,10,4242
2010,1,1,8,20,1323
2010,1,1,8,30,726
2010,1,1,8,40,-196
2010,1,1,8,50,-1640
2010,1,1,9,0,-2232
2010,1,1,9,10,-2176
2010,1,1,9,20,-2135
2010,1,1,9,30,-2120
2010,1,1,9,40,-2110
2010,1,1,9,50,-2061
2010,1,1,10,0,-1896
2010,1,1,10,10,-1091
2010,1,1,10,20,-479
2010,1,1,10,30,-738
2010,1,1,10,40,-1037
2010,1,1,10,50,-358
2010,1,1,11,0,58
2010,1,1,11,10,896
2010,1,1,11,20,45
2010,1,1,11,30,1020
2010,1,1,11,40,714
2010,1,1,11,50,311
2010,1,1,12,0,556
2010,1,1,12,10,1914
2010,1,1,12,20,4864
2010,1,1,12,30,9307
2010,1,1,12,40,11547
2010,1,1,12,50,11913
2010,1,1,13,0,10562
2010,1,1,13,10,16150
2010,1,1,13,20,16706
2010,1,1,13,30,18246
2010,1,1,13,40,14483
2010,1,1,13,50,9874
2010,1,1,14,0,11864
2010,1,1,14,10,15269
2010,1,1,14,20,17879
2010,1,1,14,30,20640
2010,1,1,14,40,23137
2010,1,1,14,50,25663
2010,1,1,15,0,24327
2010,1,1,15,10,25391
2010,1,1,15,20,26505
2010,1,1,15,30,25875
2010,1,1,15,40,24101
2010,1,1,15,50,23945
2010,1,1,16,0,24018
2010,1,1,16,10,23246
2010,1,1,16,20,17760
2010,1,1,16,30,16116
2010,1,1,16,40,21940
2010,1,1,16,50,29214
2010,1,1,17,0,33926
2010,1,1,17,10,43879
2010,1,1,17,20,39802
2010,1,1,17,30,42307
2010,1,1,17,40,43299
2010,1,1,17,50,40138
2010,1,1,18,0,34609
2010,1,1,18,10,38392
2010,1,1,18,20,44914
2010,1,1,18,30,51965
2010,1,1,18,40,55497
2010,1,1,18,50,61325
2010,1,1,19,0,77717
2010,1,1,19,10,89160
2010,1,1,19,20,96327
2010,1,1,19,30,108921
2010,1,1,19,40,109233
2010,1,1,19,50,98961
2010,1,1,20,0,104923
2010,1,1,20,10,110425
2010,1,1,20,20,109598
2010,1,1,20,30,96966
2010,1,1,20,40,95865
2010,1,1,20,50,87302
2010,1,1,21,0,84122
2010,1,1,21,10,80043
2010,1,1,21,20,65621
2010,1,1,21,30,53514
2010,1,1,21,40,50234
2010,1,1,21,50,47343
2010,1,1,22,0,37974
2010,1,1,22,10,37178
2010,1,1,22,20,43710
2010,1,1,22,30,42206
2010,1,1,22,40,38628
2010,1,1,22,50,36798
2010,1,1,23,0,30350
2010,1,1,23,10,35207
2010,1,1,23,20,45173
2010,1,1,23,30,54431
2010,1,1,23,40,55321
2010,1,1,23,50,67440
2010,1,2,0,0,59804
2010,1,2,0,10,60942
2010,1,2,0,20,39328
2010,1,2,0,30,19451
2010,1,2,0,40,5377
2010,1,2,0,50,4218
2010,1,2,1,0,7442
2010,1,2,1,10,18157
2010,1,2,1,20,25543
2010,1,2,1,30,35859
2010,1,2,1,40,27349
2010,1,2,1,50,15808
2010,1,2,2,0,13087
2010,1,2,2,10,11021
2010,1,2,2,20,3376
2010,1,2,2,30,-1302
2010,1,2,2,40,-3046
2010,1,2,2,50,-2762
2010,1,2,3,0,-2566
2010,1,2,3,10,-2290
2010,1,2,3,20,-1970
2010,1,2,3,30,-1985
2010,1,2,3,40,-2640
2010,1,2,3,50,-2564
2010,1,2,4,0,-1590
2010,1,2,4,10,1922
2010,1,2,4,20,6100
2010,1,2,4,30,10346
2010,1,2,4,40,17907
2010,1,2,4,50,28386
2010,1,2,5,0,44075
2010,1,2,5,10,62464
2010,1,2,5,20,87011
2010,1,2,5,30,90686
2010,1,2,5,40,74228
2010,1,2,5,50,67883
2010,1,2,6,0,74193
2010,1,2,6,10,72352
2010,1,2,6,20,65730
2010,1,2,6,30,61686
2010,1,2,6,40,63005
2010,1,2,6,50,74161
2010,1,2,7,0,85001
2010,1,2,7,10,90381
2010,1,2,7,20,84819
2010,1,2,7,30,77101
2010,1,2,7,40,79159
2010,1,2,7,50,77376
2010,1,2,8,0,77657
2010,1,2,8,10,74488
2010,1,2,8,20,64940
2010,1,2,8,30,80594
2010,1,2,8,40,72488
2010,1,2,8,50,36375
2010,1,2,9,0,25704
2010,1,2,9,10,34531
2010,1,2,9,20,38624
2010,1,2,9,30,50027
2010,1,2,9,40,72818
2010,1,2,9,50,105048
2010,1,2,10,0,132202
2010,1,2,10,10,119311
2010,1,2,10,20,100598
2010,1,2,10,30,80155
2010,1,2,10,40,98646
2010,1,2,10,50,118967
2010,1,2,11,0,118412
2010,1,2,11,10,120639
2010,1,2,11,20,117876
2010,1,2,11,30,103667
2010,1,2,11,40,100769
2010,1,2,11,50,112907
2010,1,2,12,0,105640
2010,1,2,12,10,94656
2010,1,2,12,20,92039
2010,1,2,12,30,85071
2010,1,2,12,40,90170
2010,1,2,12,50,119289
2010,1,2,13,0,151414
2010,1,2,13,10,169512
2010,1,2,13,20,198419
2010,1,2,13,30,207551
2010,1,2,13,40,208904
2010,1,2,13,50,211653
2010,1,2,14,0,206977
2010,1,2,14,10,208789
2010,1,2,14,20,210955
2010,1,2,14,30,212040
2010,1,2,14,40,212463
2010,1,2,14,50,211906
2010,1,2,15,0,212779
2010,1,2,15,10,211488
2010,1,2,15,20,207753
2010,1,2,15,30,205563
2010,1,2,15,40,203866
2010,1,2,15,50,205674
2010,1,2,16,0,203252
2010,1,2,16,10,204706
2010,1,2,16,20,200155
2010,1,2,16,30,195638
2010,1,2,16,40,195784
2010,1,2,16,50,192201
2010,1,2,17,0,174608
2010,1,2,17,10,162445
2010,1,2,17,20,157744
2010,1,2,17,30,153350
2010,1,2,17,40,155188
2010,1,2,17,50,155084
2010,1,2,18,0,151930
2010,1,2,18,10,157426
2010,1,2,18,20,160755
2010,1,2,18,30,169080
2010,1,2,18,40,178585
2010,1,2,18,50,181412
2010,1,2,19,0,184121
2010,1,2,19,10,198410
2010,1,2,19,20,198753
2010,1,2,19,30,200647
2010,1,2,19,40,210323
2010,1,2,19,50,210848
2010,1,2,20,0,203395
2010,1,2,20,10,195015
2010,1,2,20,20,189975
2010,1,2,20,30,167466
2010,1,2,20,40,166172
2010,1,2,20,50,168864
2010,1,2,21,0,166226
2010,1,2,21,10,152303
2010,1,2,21,20,149801
2010,1,2,21,30,144837
2010,1,2,21,40,133619
2010,1,2,21,50,138188
2010,1,2,22,0,143862
2010,1,2,22,10,141750
2010,1,2,22,20,148556
2010,1,2,22,30,154005
2010,1,2,22,40,165359
2010,1,2,22,50,185048
2010,1,2,23,0,216098
2010,1,2,23,10,238637
2010,1,2,23,20,242222
2010,1,2,23,30,241485
2010,1,2,23,40,241206
2010,1,2,23,50,244312
2010,1,3,0,0,240344
2010,1,3,0,10,231987
2010,1,3,0,20,225441
2010,1,3,0,30,220664
2010,1,3,0,40,223945
2010,1,3,0,50,235936
2010,1,3,1,0,237977
2010,1,3,1,10,229471
2010,1,3,1,20,217764
2010,1,3,1,30,209695
2010,1,3,1,40,205712
2010,1,3,1,50,202855
2010,1,3,2,0,195747
2010,1,3,2,10,186990
2010,1,3,2,20,178023
2010,1,3,2,30,172282
2010,1,3,2,40,168857
2010,1,3,2,50,160220
2010,1,3,3,0,157967
2010,1,3,3,10,161369
2010,1,3,3,20,178246
2010,1,3,3,30,192205
2010,1,3,3,40,186796
2010,1,3,3,50,186623
2010,1,3,4,0,180323
2010,1,3,4,10,184246
2010,1,3,4,20,184105
2010,1,3,4,30,183276
2010,1,3,4,40,190066
2010,1,3,4,50,194564
2010,1,3,5,0,192237
2010,1,3,5,10,190316
2010,1,3,5,20,184223
2010,1,3,5,30,179729
2010,1,3,5,40,175432
2010,1,3,5,50,170140
2010,1,3,6,0,167859
2010,1,3,6,10,173627
2010,1,3,6,20,174549
2010,1,3,6,30,170198
2010,1,3,6,40,177615
2010,1,3,6,50,190895
2010,1,3,7,0,193811
2010,1,3,7,10,194831
2010,1,3,7,20,200822
2010,1,3,7,30,207278
2010,1,3,7,40,196095
2010,1,3,7,50,194371
2010,1,3,8,0,192453
2010,1,3,8,10,191071
2010,1,3,8,20,201122
2010,1,3,8,30,217288
2010,1,3,8,40,225575
2010,1,3,8,50,231846
2010,1,3,9,0,220134
2010,1,3,9,10,204943
2010,1,3,9,20,186817
2010,1,3,9,30,167779
2010,1,3,9,40,162358
2010,1,3,9,50,169180
2010,1,3,10,0,174648
2010,1,3,10,10,180614
2010,1,3,10,20,188271
2010,1,3,10,30,210332
2010,1,3,10,40,215060
2010,1,3,10,50,211562
2010,1,3,11,0,217714
2010,1,3,11,10,229247
2010,1,3,11,20,226155
2010,1,3,11,30,216820
2010,1,3,11,40,223940
2010,1,3,11,50,222504
2010,1,3,12,0,224710
2010,1,3,12,10,217400
2010,1,3,12,20,194907
2010,1,3,12,30,161658
2010,1,3,12,40,138715
2010,1,3,12,50,130434
2010,1,3,13,0,136726
2010,1,3,13,10,139530
2010,1,3,13,20,138670
2010,1,3,13,30,129829
2010,1,3,13,40,131308
2010,1,3,13,50,127328
2010,1,3,14,0,113456
2010,1,3,14,10,113398
2010,1,3,14,20,106169
2010,1,3,14,30,98105
2010,1,3,14,40,88690
2010,1,3,14,50,86752
2010,1,3,15,0,80346
2010,1,3,15,10,66322
2010,1,3,15,20,59693
2010,1,3,15,30,44255
2010,1,3,15,40,25853
2010,1,3,15,50,18949
2010,1,3,16,0,13578
2010,1,3,16,10,11033
2010,1,3,16,20,14061
2010,1,3,16,30,16139
2010,1,3,16,40,18613
2010,1,3,16,50,17545
2010,1,3,17,0,13813
2010,1,3,17,10,11850
2010,1,3,17,20,14988
2010,1,3,17,30,20873
2010,1,3,17,40,27585
2010,1,3,17,50,37328
2010,1,3,18,0,56472
2010,1,3,18,10,67333
2010,1,3,18,20,67337
2010,1,3,18,30,66676
2010,1,3,18,40,67305
2010,1,3,18,50,66954
2010,1,3,19,0,69649
2010,1,3,19,10,67576
2010,1,3,19,20,60911
2010,1,3,19,30,51464
2010,1,3,19,40,38184
2010,1,3,19,50,32122
2010,1,3,20,0,23746
2010,1,3,20,10,22447
2010,1,3,20,20,24759
2010,1,3,20,30,27578
2010,1,3,20,40,30245
2010,1,3,20,50,29894
2010,1,3,21,0,29682
2010,1,3,21,10,35841
2010,1,3,21,20,40971
2010,1,3,21,30,41305
2010,1,3,21,40,40725
2010,1,3,21,50,40173
2010,1,3,22,0,38409
2010,1,3,22,10,33779
2010,1,3,22,20,33905
2010,1,3,22,30,35788
2010,1,3,22,40,38989
2010,1,3,22,50,48954
2010,1,3,23,0,59127
2010,1,3,23,10,65018
2010,1,3,23,20,61139
2010,1,3,23,30,54773
2010,1,3,23,40,54053
2010,1,3,23,50,54174
2010,1,4,0,0,56632
2010,1,4,0,10,64129
2010,1,4,0,20,69761
