G09,Mitsubishi 1.0,40.87761,-104.03407
G10,Mitsubishi 1.0,40.87641,-104.03591
G11,Mitsubishi 1.0,40.87305,-104.03486
G12,Mitsubishi 1.0,40.87137,-104.03614
G13,Mitsubishi 1.0,40.86976,-104.03739
G14,Mitsubishi 1.0,40.86807,-104.03869
G15,Mitsubishi 1.0,40.86616,-104.03985
G16,Mitsubishi 1.0,40.86515,-104.04214
G17,Mitsubishi 1.0,40.86412,-104.04425
G18,Mitsubishi 1.0,40.86221,-104.04530
G19,Mitsubishi 1.0,40.85997,-104.04561
G20,Mitsubishi 1.0,40.85796,-104.04694
G21,Mitsubishi 1.0,40.85554,-104.04018
G22,Mitsubishi 1.0,40.85376,-104.04223
G23,Mitsubishi 1.0,40.85186,-104.04461
G24,Mitsubishi 1.0,40.85146,-104.04685
G25,Mitsubishi 1.0,40.84781,-104.05411
G26,Mitsubishi 1.0,40.84642,-104.05590
G27,Mitsubishi 1.0,40.84502,-104.05752
G28,Mitsubishi 1.0,40.84363,-104.05911
G29,Mitsubishi 1.0,40.83908,-104.06358
G30,Mitsubishi 1.0,40.83732,-104.06449
G31,Mitsubishi 1.0,40.83554,-104.06534
G32,Mitsubishi 1.0,40.83350,-104.06622
G33,Mitsubishi 1.0,40.83150,-104.06705
G34,Mitsubishi 1.0,40.82949,-104.06787
G35,Mitsubishi 1.0,40.82763,-104.06943
G36,Mitsubishi 1.0,40.82642,-104.07198
G37,Mitsubishi 1.0,40.82462,-104.07351
H01,Mitsubishi 1.0,40.92208,-103.97341
H02,Mitsubishi 1.0,40.92040,-103.97452
H03,Mitsubishi 1.0,40.91845,-103.97568
H04,Mitsubishi 1.0,40.91587,-103.97651
H05,Mitsubishi 1.0,40.91382,-103.97679
H06,Mitsubishi 1.0,40.91158,-103.97688
H07,Mitsubishi 1.0,40.90927,-103.97693
H08,Mitsubishi 1.0,40.90736,-103.97812
H09,Mitsubishi 1.0,40.90556,-103.97946
H10,Mitsubishi 1.0,40.90455,-103.98004
H11,Mitsubishi 1.0,40.90611,-103.98605
H12,Mitsubishi 1.0,40.90455,-103.98733
H13,Mitsubishi 1.0,40.90330,-103.98891
H14,Mitsubishi 1.0,40.90040,-103.98874
H15,Mitsubishi 1.0,40.89772,-103.98818
H16,Mitsubishi 1.0,40.89630,-103.98902
H17,Mitsubishi 1.0,40.89316,-103.99569
H18,Mitsubishi 1.0,40.89225,-103.99771
H19,Mitsubishi 1.0,40.89085,-103.99921
H20,Mitsubishi 1.0,40.88172,-103.98522
H21,Mitsubishi 1.0,40.88197,-103.98982
H22,Mitsubishi 1.0,40.88206,-103.99419
H23,Mitsubishi 1.0,40.88131,-104.00541
H24,Mitsubishi 1.0,40.88053,-104.00740
H25,Mitsubishi 1.0,40.87961,-104.00941
H26,Mitsubishi 1.0,40.87884,-104.01222
H27,Mitsubishi 1.0,40.87745,-104.01480
H28,Mitsubishi 1.0,40.87643,-104.01638
H29,Mitsubishi 1.0,40.88186,-104.02079
H30,Mitsubishi 1.0,40.88030,-104.02226
H31,Mitsubishi 1.0,40.87873,-104.02371
H32,Mitsubishi 1.0,40.87751,-104.02547
H34,Mitsubishi 1.0,40.87106,-104.01885
H35,Mitsubishi 1.0,40.86916,-104.01931
H36,Mitsubishi 1.0,40.86749,-104.02034
H37,Mitsubishi 1.0,40.86632,-104.02162
H38,Mitsubishi 1.0,40.86451,-104.02372
H39,Mitsubishi 1.0,40.86287,-104.02412
H40,Mitsubishi 1.0,40.86124,-104.02480
H41,Mitsubishi 1.0,40.85898,-104.02561
H42,Mitsubishi 1.0,40.85732,-104.02604
H43,Mitsubishi 1.0,40.85609,-104.02779
H44,Mitsubishi 1.0,40.85528,-104.03026
H45,Mitsubishi 1.0,40.85388,-104.03167
H46,Mitsubishi 1.0,40.85234,-104.03385
H47,Mitsubishi 1.0,40.85161,-104.03614
H48,Mitsubishi 1.0,40.84681,-104.03136
H49,Mitsubishi 1.0,40.84500,-104.03266
H50,Mitsubishi 1.0,40.84659,-104.03945
H51,Mitsubishi 1.0,40.84556,-104.04158
H52,Mitsubishi 1.0,40.84453,-104.04365
H53,Mitsubishi 1.0,40.84343,-104.04575
H54,Mitsubishi 1.0,40.84129,-104.04760
H55,Mitsubishi 1.0,40.83848,-104.04768
H56,Mitsubishi 1.0,40.83657,-104.05097
H57,Mitsubishi 1.0,40.83399,-104.05114
H58,Mitsubishi 1.0,40.83178,-104.05131
H59,Mitsubishi 1.0,40.83057,-104.05653
H60,Mitsubishi 1.0,40.82896,-104.05793
H61,Mitsubishi 1.0,40.82737,-104.05933
H62,Mitsubishi 1.0,40.82358,-104.05861
H63,Mitsubishi 1.0,40.82251,-104.06041
H64,Mitsubishi 1.0,40.82048,-104.06221
J01,Mitsubishi 1.0,40.91435,-103.95464
J02,Mitsubishi 1.0,40.91389,-103.95657
J03,Mitsubishi 1.0,40.91268,-103.95875
J04,Mitsubishi 1.0,40.91170,-103.96067
J05,Mitsubishi 1.0,40.90985,-103.96230
J06,Mitsubishi 1.0,40.90872,-103.96329
J07,Mitsubishi 1.0,40.90731,-103.95717
J08,Mitsubishi 1.0,40.90590,-103.95891
J09,Mitsubishi 1.0,40.90480,-103.96049
K01,Mitsubishi 1.0,40.91562,-103.94244
K02,Mitsubishi 1.0,40.91407,-103.94380
K03,Mitsubishi 1.0,40.91246,-103.94508
K04,Mitsubishi 1.0,40.91090,-103.94639
K05,Mitsubishi 1.0,40.90942,-103.94770
K06,Mitsubishi 1.0,40.90811,-103.94903
K07,Mitsubishi 1.0,40.90382,-103.94988
K08,Mitsubishi 1.0,40.90309,-103.95232
K09,Mitsubishi 1.0,40.90078,-103.95625
K10,Mitsubishi 1.0,40.89920,-103.95695
K11,Mitsubishi 1.0,40.89762,-103.95889
L01,Mitsubishi 1.0,40.91648,-103.91867
L02,Mitsubishi 1.0,40.91613,-103.92182
L03,Mitsubishi 1.0,40.91592,-103.92569
L04,Mitsubishi 1.0,40.91477,-103.92846
L05,Mitsubishi 1.0,40.91379,-103.93043
L06,Mitsubishi 1.0,40.90854,-103.92683
L07,Mitsubishi 1.0,40.90733,-103.92944
L08,Mitsubishi 1.0,40.90596,-103.93217
L09,Mitsubishi 1.0,40.90572,-103.93838
L10,Mitsubishi 1.0,40.90452,-103.94196
L11,Mitsubishi 1.0,40.90373,-103.94485
L12,Mitsubishi 1.0,40.89968,-103.94033
L13,Mitsubishi 1.0,40.89826,-103.94237
L14,Mitsubishi 1.0,40.89709,-103.94454
M01,Mitsubishi 1.0,40.91411,-103.89849
M02,Mitsubishi 1.0,40.91312,-103.90057
M03,Mitsubishi 1.0,40.91227,-103.90228
M04,Mitsubishi 1.0,40.91136,-103.90420
M05,Mitsubishi 1.0,40.91007,-103.90694
M06,Mitsubishi 1.0,40.90892,-103.90880
M07,Mitsubishi 1.0,40.90723,-103.91110
M08,Mitsubishi 1.0,40.90568,-103.91317
M09,Mitsubishi 1.0,40.90412,-103.91516
M10,Mitsubishi 1.0,40.90204,-103.91678
M11,Mitsubishi 1.0,40.90017,-103.91780
M12,Mitsubishi 1.0,40.89809,-103.91936
M13,Mitsubishi 1.0,40.89677,-103.92124
M14,Mitsubishi 1.0,40.89964,-103.92615
M15,Mitsubishi 1.0,40.89816,-103.92768
M16,Mitsubishi 1.0,40.89675,-103.92936
P01,Mitsubishi 1.0,40.90150,-103.89828
P02,Mitsubishi 1.0,40.90045,-103.90028
P03,Mitsubishi 1.0,40.89948,-103.90253
P04,Mitsubishi 1.0,40.89766,-103.90352
P05,Mitsubishi 1.0,40.89513,-103.90375
P06,Mitsubishi 1.0,40.88374,-103.89921
P07,Mitsubishi 1.0,40.88118,-103.89931
P08,Mitsubishi 1.0,40.87915,-103.90145
P09,Mitsubishi 1.0,40.87933,-103.90480
P10,Mitsubishi 1.0,40.87918,-103.90886
P11,Mitsubishi 1.0,40.87800,-103.91058
P12,Mitsubishi 1.0,40.87675,-103.91243
P13,Mitsubishi 1.0,40.87599,-103.91525
P14,Mitsubishi 1.0,40.87515,-103.91785
P15,Mitsubishi 1.0,40.87421,-103.92078
MET Tower A9,Met.A09,40.95413,-104.07798
MET Tower H6,Met.H06,40.91255,-103.89477
